participant_id,comment_id,do-goal,motor-goal,be-goal,FPN1_Autonomy,FPN2_Beauty,FPN3_Comfort,FPN4_Community,FPN5_Competence,FPN6_Fitness,FPN7_Impact,FPN8_Morality,FPN9_Purpose,FPN10_Recognition,FPN11_Relatedness,FPN12_Security,FPN13_Stimulation
0,16,I aim to deeply clean my floors; I aim to get the cleaning done without much difficulty.,Scrub the floors with the swiffer wipe without putting in much physical effort,I wish to have a clean environment,1,4,5,1,1,1,1,1,1,1,1,1,1
1,7,"I aim to charge my phone.
 I aim to use my portable charger from time to time.","By connecting my phone to my portable charger, I should be able to charge my phone. 
 By charging my phone when my battery is low, I aim to use my portable charger from time to time.","I aspire to be secure and have control over my life.
 I aspire to have convenience on the things I do.",5,1,5,1,1,1,4,1,5,1,1,5,1
2,1,I am to travel with the luggage. I am to store the luggage on the plane as a carry-on in the cabin. I am to role the luggage on its wheel. I am to store materials in the luggage. I am to lift the luggage.,I am to pick up the luggage to be able to store it in the overhead carry-on compartment on a plane. I am to store all my needed material in the luggage so I can bring it as a carry-on. I am to role the luggage on its wheels so I do not have to carry it while walking / traveling.,I aspire to travel lightly and be able to bring all my needed materials in one luggage. I aim to travel comfortably and easily so I do not need to check my luggage at the airport. I am to be comfortable so I don't have to pick up unwieldy luggage.,5,2,5,1,4,1,1,1,2,1,1,2,1
3,18,"I aim to hold a lot of stuff
 I aim to use my bag for a long time.","By closing the zipper, I should be able to hold my stuff.
 By using it clean, I should be able to use it for a long time","I aspire to bring a lot of stuff to my workplace or journey. 
 I aspire to secure my stuff.",1,1,4,1,1,1,1,1,1,1,1,5,1
4,12,"I aim to clean my home
 I aim to clean multiple surfaces with one product","By swiping a wipe over dirty surfaces, I will have a clean home
 By disposing of that wipe easily, I will make my home less cluttered","I aspire to have a clean home
 I aspire to clean in a convenient way",2,3,4,1,2,1,1,1,1,1,1,3,1
5,2,I aim to be able to use electronic devices in other countries. I aim to be able to carry the things I need. I aim to be as unburdened as possible when in other countries. I want to be able to charge my devices efficiently.,I want to be able to plug in my devices wherever I go. I want to be able to store chargers and plugs easily so they are out of the way when not in use. I should be able to plug in my devices without hassle or difficulty. I plug my regular plugs into the travel adapter and then the regular plugs should work normally.,I want to be able to travel. I want to be interesting and capable. I want to be self-sufficient.,5,2,4,4,3,2,1,1,1,2,4,3,4
6,4,I aim to use my computer to interface with other products (it needs to be flexible). I aim to use resource-intensive or data-intensive applications and have them run efficiently.,"By connecting devices into the computer's ports, I should quickly and easily be able to establish a connection. No extra steps or troubleshooting required.","I aspire to work on difficult computing problems that can benefit those around me, maybe through movie-making, machine learning, or other tasks that are intractable by hand.",4,2,5,1,3,1,3,1,4,1,1,1,1
7,10,I aim to use the adapter to connect to multiple products of different brands. I aim to connect this adapter mainly to my iPhone.,"I need to make sure the adapter is compatible with my products in order to connect it to said product. By testing if the adapter fits my device, I can determine if it is able to connect or not.",I aspire to fulfill more functionality in my life. I aspire to minimize the amount of clutter in my life.,4,3,5,3,2,3,5,1,5,2,2,5,3
8,5,I aim to use my computer effectively for daily tasks. I aim to use the apps I want to on my computer,"By plugging in my computer, I should be able to use my computer for longer. By running one app at a time, I should have no issue in the function of the computer.",I aspire to have security in my life. I aspire to have a relaxing life.,3,2,5,1,4,1,1,1,1,1,1,5,1
9,1,I aim to have a comfortable luggage. I aim to have a luggage that is easy to lift.,"By moving the wheels, the luggage should be able to move the direction I want. By holding the luggage, I should be able to lift it easily like a hand held bag.","I aspire to have convenient device, comfortable luggage.",3,1,5,1,1,1,1,1,1,1,1,4,1
