Index,Category,Product,Comment,Post_or_Pre,Do-goals,Motor-goals,Be-goals,FPN1_Autonomy,FPN2_Beauty,FPN3_Comfort,FPN4_Community,FPN5_Competence,FPN6_Fitness,FPN7_Impact,FPN8_Morality,FPN9_Purpose,FPN10_Recognition,FPN11_Relatedness,FPN12_Security,FPN13_Stimulation
0,2,Luggage,"The luggage is small in size to fit as a cabbin baggage while being big enough to fit all the materials. The wheels are not the most comfortable to work with, as it changes orientation fairly quickly. The square design makes it a little uncomfortable to lift compared to a hand held bag.",post,I aim to carry my materials compactly and comfortably while I travel. I wish that the bag has enough room to accommodate my belongings and it is easy to walk around with.,"The bag should be an adequate size, big enough to accommodate things, and small to fit in the cabin baggage specifications. The bag should be a comfortable shape to carry around. The wheels on the bag should be smooth to walk with.",I hope to be relaxed and in a peaceful state while traveling. I would like to direct my thoughts to other pressing things than baggage. I hope that the bag will be able to make me travel both in style and comfort. I would also like the bag to be strong enough to hold my belongings to feel a sense of security.,4,4,5,3,3,1,3,1,5,2,1,5,1
1,2,travel adapter (American to European wall outlets),It is small and lightweight which made it good for travel. Simple and worked well.,post,"I aim to use this adaptor to charge my laptop using the US charger at a European wall outlet.
 
 I aim to travel around Europe and for this adaptor to work at each outlet.","By plugging the adaptor into the wall, my laptop charger into the adaptor, and my charger into the computer, I should be able to charge my laptop.",I aspire to conduct engineering research in Europe. I aim to travel to different European countries.,5,1,1,1,5,1,4,1,4,1,1,4,5
2,2,Portable charger,"This portable charger is the perfect size, and can easily fit into pockets/handbags, but I would have preferred the charging block to have lasted for longer time.",post,I am to recharge my phone to 100% with this portable charger; I aim to be able to charge multiple items at once.,"By plugging in a usb/usb-c charger into this portable charger, I should be able to recharge my phone to 100% with this charger; by having multiple in/out ports, this charger should be able to charge multiple items at once.",I aspire to be in control and feel secure with the object near me; I aspire to be comfortable with leaving my house with an uncharged phone.,4,1,5,1,2,2,1,1,4,1,1,5,2
3,3,desktop computer (Mac Mini),"The set up was easy and straightforward, and the processor is fast as expected. Disappointed by the number of ports for connecting to external hard drives and monitors - requires adapter purchases to expand the number of connections.",post,"I aim to complete multiple tasks quickly on the desktop
 I aim to use the product to save and review research data.","I can complete multiple tasks on the desktop by opening multiple windows and scrolling between the interfaces
 I can save and review research data by plugging external drives and opening the files on the desktop",I aspire to be more efficient at my work,3,2,5,1,5,1,3,1,1,1,1,1,1
4,3,laptop,"The laptop is very sleek and had a long battery life at first. The battery life is a little shorter now but still very good. Biggest concern is that the RAM often gets fully used up and apps must be closed to free up memory, but otherwise the laptop is very fast and functions well. Very easy to use.",post,I aim to use the laptop's apps and browser for long periods of time in the day. I aim to complete my work with the laptop easily without any issues.,"I open the laptop, open VSCode, and start typing code to complete my coding assignment. I may also open the browser and open tabs for Canvas and StackOverflow to aid me with the assignment.",I aspire to increase my knowledge and improve my skills. I aspire to make meaningful contributions to society through the use of my knowledge.,2,1,1,1,5,1,5,2,4,3,1,2,1
5,1,Sponge,"The sponge is functional enough when washing, although its rough side is not rough enough to deal with tough stains or stuck pieces of food, and I end up having to use steel wool. It was very cheap, but also doesn't feel very durable. The dishes are cleaned well, although it is annoying afterwards to have to squeeze out the suds to let it dry so the sponge itself stays clean.",post,"The goal is to ensure dishes are clean of food and germs, as well as to ensure the sponge can be kept clean for future use.","I should be able to apply water (warm) and dish soap to the sponge, and then by scrubbing the dishes, it will be cleaned. Afterwards, I rinse the sponge and squeeze it out so it dries faster and also remained clean.","I hope to have a clean/hygenic environment, especially for my food; and I hope that my tools remain in good condition for future use.",2,2,4,1,3,4,1,1,1,1,1,4,1
6,2,Portable charger,"I like this charger, it has a long battery life and it is small so that it does not take up too much space in my backpack. The only problem is that it leaks battery so if it not in use for a while, it runs out of charge even though I have not used it.",post,I aim to charge my phone on the go. I aim to be able to travel with this portable charger and that it does not take up too much space.,I need to make sure my portable charger is fully charged before my travel. I need to keep a cable with it so that I can connect it to my phone. I should be able to charge for 48 hours before the battery runs out.,I aspire to stay connected; I need to feel safe in that I have a means of contacting someone,4,1,5,5,1,1,1,1,3,1,1,5,1
7,3,Razer Naga Trinity Mouse,"The Trinity is a great replacement and upgrade from the previous mouse I had. As someone who frequently plays World of Warcraft (which requires the use of multiple different keys) with long nails, the 12-button side panel has made my experience a lot better! It is also useful for making keyboard shortcuts for office use as well. 
 
 Programming the mouse was easy through the downloadable Razer software, although a different app (SteerMouse) was required to reprogram it on my Macbook. I also found it difficult to save the keybinds to the onboard memory, and found myself reprogramming it on each new device I plugged it into. RGB lighting is also a plus, and can be controlled thru the Razer software as well. 
 
 If you are intimidated by the 12-button side design, I would recommend to go for it as there are three different side panels included which are easily swappable (they attach with magnets) and you can use 2 of 7 button panels instead.",post,"I aim to improve my gameplay efficiency in WoW.
 I aim to aesthetically integrate a new mouse into my existing desk setup.","By programming the 12-button side panel and learning how to use it, I can improve my efficiency at executing key presses.
 By programming the lights on the mouse, I can match the color of it to the rest of my accessories.","I aspire to attain higher achievement in my pursuits.
 I aspire to have an aestetically pleasing space.",4,5,4,2,5,1,1,1,3,4,2,1,4
8,1,Swiffer wet mop,"The wet mop is useful in cleaning up some basic dirt and whatnot, but really seems to struggle when it comes to more ingrained floor stains. I had a leak in a sugary liquid that dried on the floor, and by the time I noticed it/tried to remove it, it was so dried-out that I couldn't do it without the help of something much tougher than this mop.",post,I aim to clean my floor; I aim to remove dried sugar stains from my floor.,"By loading the wet wipes onto the Swiffer mop, and by dragging said Swiffer mop against the floor, I should be able to remove the sugar stains from the floor.",I aspire to have impact on the state of my floor; I aspire to maintain the hygiene of my kitchen.,3,1,2,1,3,4,5,1,3,1,1,1,2
9,2,Travel Adapter,Can this adapter connect to my iphone and non apple wires?,pre,"1. I would like to be able to use non apple headphones with my iphone. 
 2. I would like to be able to charge my iphone while simultaneously using the iphone charging port to use my non apple headphones.","1. By inserting the new cable, I should be able to then plug in my headphones and a charging cable. 
 2. By purchasing the correct product, I should be able to fulfill my need to multi-task.","1. I aspire to be able to multi-task/ manage work and personal life
 2. I aspire to be a problem solver",5,1,2,2,5,4,5,3,5,5,1,4,3
10,1,swiffer/mop,"I am looking to purchase a mop with replaceable pads (not the traditional rope mops). Which mops are easy to use, and have easy access to change the pad? Which mops are the most absorbant? Which mops also sell the cheapest refills? When choosing my mop, I am mainly concerned with affordability, longevity, and effectiveness.",pre,"I aim to clean effectively, and I aim to keep my house clean consistently.","By using the mop correctly and changing the pads at the proper times, I should be able to use the mop effectively. By keeping the mop and accessories in a clean and dry place, I should be able to use the mop for a long time.","I aspire to maintain a hygienic living space, and I aspire to have a reliable routine that I can control.",1,5,5,3,3,4,2,1,1,1,2,3,1
11,1,cleaning wipe,"The cleaning wipes are very easy and convenient to use. You could apply them everywhere, kitchen counter, desk, floor, etc, and they are disposable.",post,I aim to use it for cleaning; I aim to minimize my cleaning effort,"By wiping the surface that needs to be clean with the product, I should be able to do the cleaning; By using a cleaning wipe, I don't need to use cleaning spray and only need to throw the used wipe after finish cleaning.","I aspire to live in an organized and clean space, and keep my life easy and simple",1,3,4,1,1,1,1,1,1,1,1,2,1
12,1,Dry/wet vacuum,"The vacuum works superbly well, both on hardwood floors and rugs, lifting dirt from all surfaces",pre,I aim to clean my floors of all types,"By using the vacuum as instructed, I should be able to thoroughly clean my floors, both rugs and hard surfaces","I desire to have a clean home, which will provide a greater sense of peace to me and my guests",2,5,4,4,4,1,1,3,2,2,4,1,1
13,1,wipes,The wipes are incredible! I have never seen one wipe pick up so much dirt,post,I aim to clean a surface quickly; I aim to clean the surface using minimal effort,"By taking the wipe out of the container and rubbing the wipe on the surface, I can remove dirt from the surface.",I aspire to have a clean space that I can invite other people into,4,5,5,3,3,1,4,2,1,3,2,4,2
14,3,Wireless earbuds,"I have used these wireless earbuds for a few days so far and have found that they connect seamlessly with my phone and hold charge for several hours. They fit in my ears well, which are relatively small.",post,I aim to be able to listen to audio from my phone or other devices wirelessly. I aim to have a seamless experience where I can expect to use the earbuds for a long time before charging.,"When I take the earbuds out of the case and put them in my ears, I should be able to begin hearing audio directly from my phone. I can put them back in the case when I am not using them to charge them. I can charge them further by connecting them to a charging cable.",I aspire to have a predictable and comfortable experience. I aspire to have a sense of control over my actions and their consequences.,4,3,4,1,2,1,4,1,1,1,1,3,3
15,1,Swiffer Wet Wipes,Swiffer wipes do a great job cleaning floors but scrubbing can be a bit difficult.,post,I aim to clean dirty floors; I aim to replace the swiffer wet wipe without any difficulty.,"By placing the wet wipe on the swiffer, the wet wipe will stay on during floor cleaning; By lifting the swiffer and pulling on the wet wipe, the wipe will come off without hassle.",I aspire to have a clean space; I aspire to show off my apartment.,4,5,5,2,4,1,3,3,4,2,1,3,3
16,2,Portable battery for phone,"The battery charger is lightweight and pretty compact, it could even fit in a coat pocket if you wanted it to. It is compatible with a USB-A charging chord, it doesn't come with a chord, but the one you use for your phone should work. It holds four full phone charges in it, and takes five hours to store all of the charge. The charging process when you plug in your phone takes more time than it would using a wall outlet, however it's still pretty fast.",post,"I aim to be able to charge my phone on long trips where I might not have access to a wall outlet, I aim to have an emergency phone battery in case my phone dies unexpectedly while camping or traveling in a foreign city","By plugging the battery charger into the wall before I go on my trip, I should be able to store four phone-charges worth of battery in the device. By plugging in a charging chord, I should be able to connect the phone to the device and charge it like I would if I was using a wall outlet.","I aspire to feel secure and prepared no matter where I go, I aspire to be able to help others if they are lacking in preparedness, I aspire to be ready for anything",4,1,3,3,3,1,1,1,1,2,1,5,2
17,2,luggage,"I chose this carryon luggage because it is a larger size, and has a good internal organization. It includes several pockets, including a padded compartment for a laptop. I bought it from a discount store, thus the price was reasonable. Unlike other popular options, it does not have a hard outer shell, however, I did not feel I need this feature, as my last luggage did not have a hard shell, and lasted for 15+ years.",post,"1) I am to pack necessary items for travel in a variety of scenarios.
 2) I aim to organize items for travel in a way that protects them from damage.
 3) I aim to organize items for travel in a way that makes them easy to access during the trip.","By using the provided luggage pockets, I can place needed items in easy to access ways to have during the trip. By using the provided sleeves and padded pockets, I can transport items that may require padding or need to lie flat.","I aspire to travel to learn about other cultures and experience new places, activities and cultures. I aspire to travel to connect with family and friends. I aspire to feel secure and have a controllable space.",3,5,5,5,3,5,2,5,5,1,5,4,5
18,3,Headphones,"For bluetooth headphones I care about how easily it can connect to my devices (computer or phone); so far for this product that has not been an issue. The sound quality is not bad, however not great either. The max volume is quite low, adequate if the ambient noise is low but inadequate if there is some background noise.",post,"I aim to listen music while I exercise.
 I aim to listen to podcasts while I do chores around the house.","By turning on the device I should be able to automatically connect to my phone.
 By raising the volume I should clearly hear the desired content (overpowering background noise).","I aspire efficiency and growth, so that while I am doing chores I am also learning from educational podcasts.
 I aspire stimulation from music such that my workouts are more effective.",1,2,3,1,4,5,2,1,4,1,1,1,5
